epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.8098,2.00833,2.55781,2.1992,0.00045,0.12238,0.00029,0.0001,2.90942,inf,372.488,0.0708824,0.00323529,0.00323529
2,86.7064,1.96742,2.22471,2.16396,0.0006,0.17133,0.00048,0.00013,3.71256,inf,11.1911,0.0408173,0.0065036,0.0065036
3,117.707,1.90866,2.07528,2.09648,0.00243,0.40909,0.00181,0.00052,3.58951,inf,8.67202,0.0106863,0.0097059,0.0097059
4,150.107,1.9153,2.11028,2.07806,0.00146,0.38462,0.001,0.00028,3.37633,inf,4.52414,0.009703,0.009703,0.009703
5,185.288,1.84769,1.95705,2.01037,0.03341,0.06643,0.02324,0.00658,3.37595,20.5979,4.34843,0.009604,0.009604,0.009604
6,218.154,1.80006,1.89517,1.96292,0.12899,0.36364,0.09557,0.02471,2.62392,5.17244,3.2874,0.009505,0.009505,0.009505
7,246.795,1.71375,1.79146,1.89675,0.22876,0.33217,0.17825,0.04501,2.73536,3.70446,3.44241,0.009406,0.009406,0.009406
8,275.774,1.7586,1.80349,1.92228,0.15965,0.15734,0.06166,0.01312,3.33818,3.10241,4.07814,0.009307,0.009307,0.009307
9,305.305,1.73724,1.81341,1.91119,0.05904,0.01748,0.0072,0.00152,3.47947,5.63514,4.41514,0.009208,0.009208,0.009208
10,336.14,1.70941,1.71347,1.85445,0.37195,0.42243,0.28333,0.11145,2.12348,2.13223,2.57907,0.009109,0.009109,0.009109
11,367.844,1.70128,1.67424,1.84725,0.01408,0.02797,0.00946,0.00348,2.9933,3.86531,3.94478,0.00901,0.00901,0.00901
12,398.112,1.71069,1.67287,1.86391,0.10853,0.1014,0.03847,0.01293,3.09929,3.46952,3.73103,0.008911,0.008911,0.008911
13,427.925,1.66079,1.64951,1.81079,0.54989,0.44056,0.45403,0.16913,2.4152,1.837,2.67816,0.008812,0.008812,0.008812
14,458.024,1.65905,1.57783,1.81398,0.59059,0.47916,0.46562,0.18133,1.97982,2.14802,2.50006,0.008713,0.008713,0.008713
15,487.383,1.6336,1.5969,1.80111,0.25055,0.3042,0.15097,0.04877,2.56835,2.50773,2.86248,0.008614,0.008614,0.008614
16,516.943,1.66848,1.59476,1.7935,0.27912,0.28322,0.20086,0.05835,2.56252,2.79035,2.89552,0.008515,0.008515,0.008515
17,546.636,1.61513,1.58538,1.76926,0.48397,0.42657,0.35312,0.10741,2.3227,2.27136,2.87995,0.008416,0.008416,0.008416
18,575.508,1.59647,1.56876,1.7899,0.59102,0.44406,0.44519,0.15807,2.32578,1.94796,2.78795,0.008317,0.008317,0.008317
19,606.041,1.57396,1.50411,1.75338,0.55858,0.43357,0.44436,0.17281,1.96407,1.99865,2.28982,0.008218,0.008218,0.008218
20,635.714,1.61082,1.54524,1.7793,0.68698,0.54484,0.63974,0.30747,1.75628,1.5574,2.13841,0.008119,0.008119,0.008119
21,666.694,1.58682,1.49066,1.75481,0.52332,0.47552,0.45568,0.18312,2.15889,1.93046,2.53662,0.00802,0.00802,0.00802
22,696.249,1.56111,1.45863,1.74713,0.48464,0.33566,0.34959,0.13517,2.24424,2.52982,2.49918,0.007921,0.007921,0.007921
23,724.968,1.56507,1.46181,1.72508,0.52021,0.44735,0.43346,0.16756,1.98035,2.03115,2.34373,0.007822,0.007822,0.007822
24,753.816,1.53926,1.48131,1.70184,0.38015,0.35315,0.31055,0.12068,2.16514,2.17771,2.51122,0.007723,0.007723,0.007723
25,784.067,1.54661,1.47663,1.73163,0.43493,0.32168,0.32298,0.10843,2.59471,2.45693,2.95464,0.007624,0.007624,0.007624
26,819.447,1.48706,1.38084,1.66836,0.41697,0.36364,0.28474,0.09259,2.36364,2.51543,2.88619,0.007525,0.007525,0.007525
27,850.986,1.54907,1.42923,1.71152,0.32066,0.27972,0.25088,0.09368,2.32472,2.47184,2.58927,0.007426,0.007426,0.007426
28,887.803,1.47745,1.37121,1.66273,0.59184,0.53497,0.58675,0.23082,2.00899,1.67016,2.35426,0.007327,0.007327,0.007327
29,921.024,1.50081,1.37477,1.68461,0.69474,0.52098,0.59153,0.26574,1.87145,1.72734,2.2251,0.007228,0.007228,0.007228
30,955.483,1.50868,1.38447,1.68937,0.51671,0.29021,0.31674,0.08764,2.7272,2.3707,3.05421,0.007129,0.007129,0.007129
31,985.232,1.47392,1.34443,1.65799,0.48634,0.32112,0.34407,0.12023,2.44227,2.49641,2.76133,0.00703,0.00703,0.00703
32,1014.98,1.47745,1.30882,1.66764,0.72529,0.55389,0.66808,0.29902,1.90501,1.70554,2.22131,0.006931,0.006931,0.006931
33,1044.74,1.47297,1.34427,1.64717,0.54143,0.3986,0.41172,0.1599,2.10263,2.0696,2.47988,0.006832,0.006832,0.006832
